% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
24.441	2	1	5	21859.9	0
24.481	2	1	5	14012.1	0
24.521	2	1	5	4440.58	0
24.561	2	1	5	3137.42	0
24.601	2	1	5	2325.54	0
24.641	2	1	5	1972.4	0
24.681	2	1	5	1954.78	0
24.721	2	1	5	2288.05	0
24.761	2	1	5	3177.73	0
24.801	2	1	5	5338.88	0
24.841	2	1	5	10926.6	0
24.881	2	1	5	19538	0
24.921	2	1	5	11740.8	0
24.961	2	1	5	4419.44	0
25.001	2	1	5	3952.05	0
25.041	2	1	5	1612.2	0
25.081	2	1	5	1748.99	0
25.121	2	1	5	3997.52	0
25.161	2	1	5	6037.25	0
25.201	2	1	5	7295.11	0
25.241	2	1	5	7785.79	0
25.281	2	1	5	7546.81	0
25.321	2	1	5	6821.05	0
25.361	2	1	5	11270.3	0
25.401	2	1	5	24227.8	0
25.441	2	1	5	22871.9	0
25.481	2	1	5	21575.2	0
25.521	2	1	5	7721.87	0
25.561	2	1	5	6797.4	0
25.601	2	1	5	4384.35	0
25.641	2	1	5	5686.35	0
25.681	2	1	5	14026	0
25.721	2	1	5	21049.3	0
25.761	2	1	5	19682	0
25.801	2	1	5	14119	0
25.841	2	1	5	8985.94	0
25.881	2	1	5	5481.16	0
25.921	2	1	5	3542.51	0
25.961	2	1	5	3022.03	0
26.001	2	1	5	90.5739	0
26.041	2	1	5	1734.82	0
26.081	2	1	5	10513.3	0
26.121	2	1	5	81199.8	0
26.161	2	1	5	65636.4	0
26.201	2	1	5	8652.76	0
26.241	2	1	5	1601.76	0
26.281	2	1	5	238.6	0
26.321	2	1	5	518.839	0
26.361	2	1	5	1879.63	0
26.401	2	1	5	5103.22	0
26.441	2	1	5	14847.9	0
26.481	2	1	5	16744.1	0
26.521	2	1	5	7626.35	0
26.561	2	1	5	22617.9	0
26.601	2	1	5	49742.5	0
26.641	2	1	5	67153.2	0
26.681	2	1	5	42861.3	0
26.721	2	1	5	16923.9	0
26.761	2	1	5	6197.71	0
26.801	2	1	5	3134.76	0
26.841	2	1	5	3399.88	0
26.881	2	1	5	5629.85	0
26.921	2	1	5	9864.03	0
26.961	2	1	5	15850	0
27.001	2	1	5	27830.1	0
27.041	2	1	5	92035.8	0
27.081	2	1	5	57422.7	0
27.121	2	1	5	15871.7	0
27.161	2	1	5	6197.96	0
27.201	2	1	5	3179.53	0
27.241	2	1	5	2500.01	0
27.281	2	1	5	2737.06	0
27.321	2	1	5	2026.38	0
27.361	2	1	5	1027.27	0
27.401	2	1	5	731.006	0
27.441	2	1	5	923.587	0
27.481	2	1	5	1489.05	0
27.521	2	1	5	5624.15	0
27.561	2	1	5	5198.38	0
27.601	2	1	5	3947.99	0
27.641	2	1	5	2236.25	0
27.681	2	1	5	755.305	0
27.721	2	1	5	3184.59	0
27.761	2	1	5	42618	0
27.801	2	1	5	82097.6	0
27.841	2	1	5	32667	0
27.881	2	1	5	15080.8	0
27.921	2	1	5	6672.53	0
27.961	2	1	5	1818.34	0
28.001	2	1	5	1114.25	0
28.041	2	1	5	721.354	0
28.081	2	1	5	543.537	0
28.121	2	1	5	2624.97	0
28.161	2	1	5	6161.91	0
28.201	2	1	5	8524.3	0
28.241	2	1	5	9635.81	0
28.281	2	1	5	10298.8	0
28.321	2	1	5	10974.4	0
28.361	2	1	5	11895.1	0
28.401	2	1	5	13285	0
28.441	2	1	5	16223	0
28.481	2	1	5	20734.1	0
28.521	2	1	5	1086.98	0
